timestamp_utc,pollutant_value,pollutant_unit,latitude,longitude,location_name,parameter_name
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T21:00:00+09:00'}",7.0,,35.21815,128.57425,,
"{'utc': '2025-10-04T11:00:00Z', 'local': '2025-10-04T14:00:00+03:00'}",-1.0,,54.88361359025449,23.83583450024486,,
"{'utc': '2021-08-09T11:00:00Z', 'local': '2021-08-09T19:00:00+08:00'}",16.0,,40.1465,117.07089999999998,,
"{'utc': '2025-08-09T14:00:00Z', 'local': '2025-08-09T07:00:00-07:00'}",9.0,,37.64553,-118.96676,,
"{'utc': '2024-12-09T12:00:00Z', 'local': '2024-12-09T13:00:00+01:00'}",6.0,,53.129418999879455,23.108024999656525,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T08:00:00-04:00'}",10.5,,38.59246,-82.80677,,
"{'utc': '2022-10-31T01:45:00Z', 'local': '2022-10-31T07:15:00+05:30'}",154.81,,29.966942,76.875879,,
"{'utc': '2024-07-21T20:00:00Z', 'local': '2024-07-21T22:00:00+02:00'}",15.872727220708674,,45.08163372052002,13.643801808266366,,
"{'utc': '2025-01-05T08:00:00Z', 'local': '2025-01-05T19:00:00+11:00'}",3.3,,-38.32676,146.3261,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T05:00:00-07:00'}",5.0,,38.05043,-122.15454,,
"{'utc': '2025-10-04T07:00:00Z', 'local': '2025-10-04T00:00:00-07:00'}",5.0,,37.68975,-121.77155,,
"{'utc': '2022-10-28T04:00:00Z', 'local': '2022-10-28T07:00:00+03:00'}",9.551,,38.14548,27.36276,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T08:00:00-04:00'}",27.24670833746592,,41.3644,-83.6612,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T14:00:00+02:00'}",3.9866666615009314,,51.966058631890675,6.289890937160651,,
"{'utc': '2025-01-13T23:00:00Z', 'local': '2025-01-14T06:00:00+07:00'}",0.0,,15.257387898044886,104.03668778711167,,
"{'utc': '2022-10-31T01:45:00Z', 'local': '2022-10-31T07:15:00+05:30'}",86.11,,14.675886,77.593027,,
"{'utc': '2024-05-27T02:00:00Z', 'local': '2024-05-27T12:00:00+10:00'}",-9999.0,,-27.090836,150.400418,,
"{'utc': '2025-01-08T11:45:00Z', 'local': '2025-01-08T06:45:00-05:00'}",6.3,,-14.49654,-71.776884,,
"{'utc': '2020-01-09T16:00:00Z', 'local': '2020-01-09T08:00:00-08:00'}",1.0,,39.403903,-120.195751,,
"{'utc': '2025-10-04T13:32:06Z', 'local': '2025-10-04T23:32:06+10:00'}",3.0,,-41.928,147.491,,
"{'utc': '2025-08-11T22:00:00Z', 'local': '2025-08-11T18:00:00-04:00'}",20.536428451538086,,40.48477,-80.09495,,
"{'utc': '2025-10-04T12:00:00Z', 'local': '2025-10-04T05:00:00-07:00'}",0.7074999982491136,,50.1009772,-122.9864273,,
