latitude,longitude,current_temp_C,current_wind_speed_m_s,current_wind_direction_deg,current_humidity_percent,timestamp_queried_utc
63.756336,-159.90442,1.69,3.01,99,98,2025-10-04T12:33:06.534201
36.276745,-118.84146,5.35,2.21,84,77,2025-10-04T12:33:07.701648
20.716114,-114.1796,25.82,5.3,344,76,2025-10-04T12:33:08.915520
40.325012,-121.25687,4.41,1.66,356,91,2025-10-04T12:33:10.364359
23.585297,-115.0421,23.88,8.75,354,78,2025-10-04T12:33:11.644298
43.975773,-124.00964,12.53,0.9,141,97,2025-10-04T12:33:12.875074
25.95446,-115.900536,21.87,9.71,351,76,2025-10-04T12:33:14.105353
47.130127,-126.98258,14.85,1.98,331,79,2025-10-04T12:33:15.309047
27.799223,-116.70162,20.42,9.94,341,71,2025-10-04T12:33:16.569122
49.60698,-129.90381,14.51,6.51,6,90,2025-10-04T12:33:17.871050
29.063898,-117.381676,19.7,9.33,336,69,2025-10-04T12:33:19.143560
51.171135,-132.23563,12.72,9.64,352,77,2025-10-04T12:33:20.340332
29.693804,-117.88101,19.37,9.2,331,70,2025-10-04T12:33:21.597718
51.665947,-133.40659,12.47,9.57,349,84,2025-10-04T12:33:22.830295
29.671011,-118.16737,19.32,9.04,332,70,2025-10-04T12:33:24.040725
50.9189,-132.96225,12.84,9.76,353,77,2025-10-04T12:33:25.268828
28.978031,-118.222824,16.31,9.78,339,71,2025-10-04T12:33:26.495159
49.088123,-131.2633,16.43,9.39,5,75,2025-10-04T12:33:27.703962
27.633923,-118.0717,20.05,9.08,347,71,2025-10-04T12:33:28.990153
46.32782,-128.86153,16.82,5.97,327,92,2025-10-04T12:33:30.208963
25.677052,-117.75962,21.33,9.97,359,77,2025-10-04T12:33:31.429583
42.88443,-126.33149,15.62,7.48,342,76,2025-10-04T12:33:32.767200
23.134752,-117.34804,23.45,8.43,13,79,2025-10-04T12:33:34.065338
38.901386,-123.95975,14.6,11.32,342,90,2025-10-04T12:33:35.357896
20.05184,-116.904465,25.07,4.5,6,78,2025-10-04T12:33:36.677748
34.50066,-121.88781,16.43,11.27,337,80,2025-10-04T12:33:37.880318
55.975163,-145.36359,10.87,6.71,176,83,2025-10-04T12:33:39.117957
29.719837,-120.14446,19.29,8.81,338,71,2025-10-04T12:33:40.400186
46.7019,-131.31648,16.11,7.53,346,92,2025-10-04T12:33:41.647603
24.601217,-118.73803,22.29,9.33,11,77,2025-10-04T12:33:42.828811
39.00902,-125.33389,16.68,12.71,347,81,2025-10-04T12:33:44.046929
19.178366,-117.67487,25.42,3.79,19,78,2025-10-04T12:33:45.269437
31.807684,-121.796455,18.93,11.3,337,71,2025-10-04T12:33:46.510176
48.211823,-134.29897,14.32,8.64,12,76,2025-10-04T12:33:47.716261
24.738443,-119.50955,22.18,9.41,8,76,2025-10-04T12:33:49.030394
37.848583,-125.53198,16.87,11.47,344,79,2025-10-04T12:33:50.254437
17.626387,-118.04815,26.28,0.87,144,80,2025-10-04T12:33:51.555817
28.81911,-121.36468,19.65,8.0,352,70,2025-10-04T12:33:52.831596
42.26488,-129.39085,17.34,5.76,333,80,2025-10-04T12:33:54.075502
20.272518,-119.038506,24.42,5.93,32,76,2025-10-04T12:33:55.285398
31.153454,-122.829056,19.37,9.9,346,69,2025-10-04T12:33:56.490789
44.470615,-132.12747,17.4,5.97,330,84,2025-10-04T12:33:57.661427
21.22846,-119.71011,23.44,6.89,33,79,2025-10-04T12:33:58.833003
31.520779,-123.509315,19.29,9.77,346,69,2025-10-04T12:34:00.023469
43.897816,-132.27411,17.36,6.51,334,86,2025-10-04T12:34:01.181112
20.40603,-119.94503,24.27,6.72,40,76,2025-10-04T12:34:02.438992
29.789257,-123.24015,19.64,8.24,353,69,2025-10-04T12:34:04.027572
40.64149,-130.0029,17.51,6.2,335,73,2025-10-04T12:34:05.323940
17.786106,-119.78412,25.49,3.47,86,88,2025-10-04T12:34:06.542535
26.102543,-122.27956,20.96,8.01,17,74,2025-10-04T12:34:07.752695
35.223072,-126.7704,18.31,9.01,352,73,2025-10-04T12:34:09.031590
